station_id,station_name,total_departures,member_dep,casual_dep,electric_dep,lat,lng,avg_duration,total_arrivals,net_flow,pct_member
5989.02,W 15 St & 6 Ave,89470,78153,11317,55248,40.738046142482766,-73.99642959237099,9.57,89705,235,87.35
6230.02,1 Ave & E 38 St,89381,78198,11183,61224,40.746202,-73.971822,11.27,89755,374,87.49
5184.08,West St & Liberty St,89296,66738,22558,54971,40.711444,-74.014847,15.95,89605,309,74.74
6306.06,W 22 St & 10 Ave,89139,76744,12395,61595,40.74691959,-74.00451887,10.84,89400,261,86.09
7059.08,West End Ave & W 60 St,88433,74800,13633,69337,40.77237,-73.99005,12.89,88642,209,84.58
6753.08,1 Ave & E 62 St,87266,76787,10479,62464,40.7612274,-73.96094022,12.49,87562,296,87.99
7260.09,Amsterdam Ave & W 73 St,87226,76144,11082,66311,40.77966809007312,-73.98093044757842,11.97,86336,-890,87.3
5204.05,S 4 St & Wythe Ave,86773,69920,16853,69995,40.71285887,-73.96590294,12.73,87482,709,80.58
4395.07,Hanson Pl & Ashland Pl,86509,71172,15337,61798,40.68506807308177,-73.97790759801863,10.62,87106,597,82.27
6611.02,W 37 St & 10 Ave,84728,74787,9941,62308,40.75660359,-73.9979009,10.89,83874,-854,88.27
6122.09,2 Ave & E 29 St,84591,72709,11882,56703,40.741723510974715,-73.97809267044067,10.47,84157,-434,85.95
6257.06,W 27 St & 7 Ave,83499,71745,11754,58279,40.74665,-73.99392,10.95,83909,410,85.92
6364.10,6 Ave & W 34 St,82630,64563,18067,53898,40.74964,-73.98805,12.15,68432,-14198,78.14
5382.07,Forsyth St & Grand St,82180,71597,10583,49243,40.71779817737835,-73.99316132068634,10.7,82613,433,87.12
6459.04,10 Ave & W 28 St,81077,69192,11885,54346,40.75066386,-74.00176802,10.82,81271,194,85.34
5712.03,Cooper Square & Astor Pl,79848,69173,10675,48267,40.72951496224949,-73.99075269699097,9.51,80552,704,86.63
6280.12,E 32 St & Park Ave,79751,69684,10067,56147,40.7457121,-73.98194829,9.91,78928,-823,87.38
6182.02,W 20 St & 7 Ave,79530,70319,9211,52055,40.74238787,-73.99726235,9.7,79809,279,88.42
5636.11,Great Jones St,78974,68375,10599,54084,40.72743423,-73.99379025,10.28,79218,244,86.58
6239.08,E 31 St & 3 Ave,78702,67844,10858,52117,40.74394314,-73.97966069,10.15,77023,-1679,86.2
6676.02,W 45 St & 8 Ave,78670,63329,15341,54523,40.75929124,-73.98859651,12.87,77155,-1515,80.5
5303.06,Clinton St & Grand St,78453,71134,7319,45255,40.71559509,-73.9870295,9.94,78690,237,90.67
5820.08,E 13 St & 2 Ave,78415,65640,12775,50796,40.73153937464073,-73.9853024482727,10.38,78732,317,83.71
6551.11,E 43 St & Madison Ave,78268,67603,10665,61251,40.75354681867074,-73.97896572947502,11.12,78101,-167,86.37
6955.05,W 54 St & 11 Ave,77798,66544,11254,53642,40.768333,-73.992573,12.33,76083,-1715,85.53
6064.08,W 18 St & 6 Ave,77777,69178,8599,52187,40.73971301,-73.99456405,10.3,78201,424,88.94
